[2023-01-10 20:04:15,267] COMMAND: Playing music main_theme
[2023-01-10 20:04:19,527] COMMAND: Move forward to lobby
[2023-01-10 20:04:44,528] COMMAND: Move to game list screen
[2023-01-10 20:04:44,546] COMMAND: Get Game List
[2023-01-10 20:06:19,050] [Command] Playing music main_theme
[2023-01-10 20:06:27,414] [Command] Move forward to lobby
[2023-01-10 20:06:40,863] [Command] Move to game list screen
[2023-01-10 20:06:40,878] [Command] Get Game List
[2023-01-10 20:06:40,886] Could not connect to the server
[2023-01-10 20:06:40,886] [Command] Error Getting Game List
[2023-01-10 20:06:40,886] Error retrieving the game list from the server
[2023-01-10 20:06:50,878] [Command] Move back to lobby
[2023-01-10 20:07:13,972] [Command] Playing music main_theme
[2023-01-10 20:07:17,417] [Command] Move forward to lobby
[2023-01-10 20:07:21,851] [Command] Move to game list screen
[2023-01-10 20:07:21,869] [Command] Get Game List
[2023-01-10 20:07:22,212] [Command] Updating game list
[2023-01-10 20:07:29,721] [Command] Request joining game df53d079-b3c5-4746-b38e-eac84cf63c65
[2023-01-10 20:07:29,721] [Command] Join game df53d079-b3c5-4746-b38e-eac84cf63c65
[2023-01-10 20:07:29,808] [Command] Locally initializing game df53d079-b3c5-4746-b38e-eac84cf63c65
[2023-01-10 20:07:29,817] [Command] Playing sound start_game
[2023-01-10 20:07:29,918] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 0
[2023-01-10 20:07:29,918] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 0
[2023-01-10 20:07:29,984] [Command] Locally updating game
[2023-01-10 20:07:29,994] [Command] Processing 6 unprocessed server events
[2023-01-10 20:07:30,004] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 created a game
[2023-01-10 20:07:30,015] [Command] Player 8100b129-49c0-4ff1-9d08-3addfa632feb joined the game
[2023-01-10 20:07:30,025] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 says: etst
[2023-01-10 20:07:30,035] [Command] Player 8100b129-49c0-4ff1-9d08-3addfa632feb says: vale
[2023-01-10 20:07:30,046] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 says: hola
[2023-01-10 20:07:30,056] [Command] Player 8100b129-49c0-4ff1-9d08-3addfa632feb says: que tal
[2023-01-10 20:07:30,074] [Command] Playing sound start_game
[2023-01-10 20:07:30,084] [Command] Playing sound start_game
[2023-01-10 20:07:30,094] [Command] Playing sound start_game
[2023-01-10 20:07:30,107] [Command] Playing sound start_game
[2023-01-10 20:07:30,118] [Command] Playing sound start_game
[2023-01-10 20:07:30,129] [Command] Playing sound start_game
[2023-01-10 20:07:30,618] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:30,618] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:30,647] [Command] Locally updating game
[2023-01-10 20:07:30,659] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:31,517] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:31,517] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:31,582] [Command] Locally updating game
[2023-01-10 20:07:31,594] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:33,118] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:33,118] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:33,182] [Command] Locally updating game
